TournamentName,Prize,Games,NumberOfTeams,NumberOfPlayers
EPICENTER XL,1000000,Dota 2,12 Teams,60 Players
ESL One Birmingham 2018,1000000,Dota 2,12 Teams,60 Players
ESL One Hamburg 2017,1000000,Dota 2,8 Teams,40 Players
ESL One Katowice 2018 (Dota 2),1000000,Dota 2,16 Teams,80 Players
ESL One: Cologne 2016,1000000,Counter-Strike: Global Offensive,16 Teams,81 Players
FACEIT Major: London 2018,1000000,Counter-Strike: Global Offensive,16 Teams,80 Players
Halo World Championship 2017,1000000,Halo 5: Guardians,12 Teams,48 Players
Halo World Championship 2018,1000000,Halo 5: Guardians,16 Teams,64 Players
Hearthstone World Championship 2017,1000000,Hearthstone,,16 Players
HGC 2016 - Fall Finals,1000000,Heroes of the Storm,12 Teams,60 Players
HGC 2017 Global Finals,1000000,Heroes of the Storm,16 Teams,80 Players
HGC 2018 Global Finals,1000000,Heroes of the Storm,12 Teams,60 Players
MDL Changsha Major,1000000,Dota 2,12 Teams,60 Players
MLG Major Championship: Columbus 2016,1000000,Counter-Strike: Global Offensive,16 Teams,80 Players
PGL Major Krak?w 2017,1000000,Counter-Strike: Global Offensive,16 Teams,80 Players
PUBG Global Invitational 2018 (FPP),1000000,PLAYERUNKNOWN’S BATTLEGROUNDS,22 Teams,80 Players
PUBG Global Invitational 2018 (TPP),1000000,PLAYERUNKNOWN’S BATTLEGROUNDS,22 Teams,80 Players
ROG DreamLeague Season 8,1000000,Dota 2,8 Teams,40 Players
Smite World Championship 2016,1000000,SMITE,10 Teams,50 Players
Smite World Championship 2017,1000000,SMITE,10 Teams,45 Players
The Bucharest Major 2018,1000000,Dota 2,8 Teams,40 Players
The Kuala Lumpur Major 2018,1000000,Dota 2,16 Teams,80 Players
CFS 2017,850000,CrossFire,4 Teams,20 Players
Smite World Championship 2018,785000,SMITE,10 Teams,50 Players
Esports Championship Series Season 1 - Finals,765000,Counter-Strike: Global Offensive,8 Teams,40 Players
ESL Pro League S5 Finals,750000,Counter-Strike: Global Offensive,12 Teams,60 Players
ESL Pro League Season 6 Finals,750000,Counter-Strike: Global Offensive,12 Teams,60 Players
ESL Pro League Season 7 - Finals,750000,Counter-Strike: Global Offensive,16 Teams,80 Players
Fortnite Fall Skirmish Series - Week 6 - Stream-Vitational,730000,Fortnite,,100 Players
2018 CWL Pro League Stage 1,700000,Call of Duty: World War II,16 Teams,66 Players
2018 CWL Pro League Stage 2,700000,Call of Duty: World War II,16 Teams,64 Players
CWL 2017 - Global Pro League Stage 1,700000,Call of Duty: Infinite Warfare,16 Teams,64 Players
CWL 2017 - Global Pro League Stage 2,700000,Call of Duty: Infinite Warfare,16 Teams,64 Players
Dota2 Professional League Season 2 - Top,700000,Dota 2,10 Teams,51 Players
WCS 2017 Global Finals,700000,StarCraft II,,16 Players
WCS 2018 Global Finals,700000,StarCraft II,,16 Players
World Cyber Arena 2015 (Dota 2),677284.4,Dota 2,4 Teams,20 Players
Esports Championship Series Season 2 - Finals,660000,Counter-Strike: Global Offensive,8 Teams,40 Players
Esports Championship Series Season 3 - Finals,660000,Counter-Strike: Global Offensive,8 Teams,40 Players
Esports Championship Series Season 4 - Finals,660000,Counter-Strike: Global Offensive,8 Teams,40 Players
Esports Championship Series Season 5 - Finals,660000,Counter-Strike: Global Offensive,8 Teams,40 Players
Esports Championship Series Season 6 - Finals,660000,Counter-Strike: Global Offensive,8 Teams,40 Players
Quake World Championship 2017: Sacrifice Tournament,660000,Quake Champions,8 Teams,32 Players
V4 Future Sports Festival (CS:GO),617870,Counter-Strike: Global Offensive,8 Teams,40 Players
DAC 2017,611987,Dota 2,12 Teams,60 Players
World Cyber Arena 2016 (Dota 2),596226.1,Dota 2,4 Teams,20 Players
ESL Pro League Season 4: Finals,580000,Counter-Strike: Global Offensive,11 Teams,55 Players
LPL Spring 2018,552695.5,League of Legends,6 Teams,41 Players
LPL Spring 2016,540291.5,League of Legends,6 Teams,40 Player
